date,equity,weekly_return
2012-01-09,30000.0,0.0
2012-01-16,29956.58,-0.001447
2012-01-30,29970.94,0.000479
2012-02-06,30770.7,0.026685
2012-02-13,31129.41,0.011658
2012-02-20,31907.66,0.025
2012-02-27,34001.55,0.065623
2012-03-05,34206.1,0.006016
2012-03-12,35502.23,0.037892
2012-03-19,34101.55,-0.039453
2012-03-26,33732.42,-0.010824
2012-04-05,31344.92,-0.070778
2012-04-09,32772.91,0.045557
2012-04-16,33818.69,0.03191
2012-04-23,35267.3,0.042835
2012-05-02,34673.45,-0.016839
2012-05-07,34909.55,0.006809
2012-05-14,34955.35,0.001312
2012-05-21,36053.74,0.031423
2012-05-28,36108.01,0.001505
2012-06-04,36636.69,0.014642
2012-06-11,34476.25,-0.058969
2012-06-18,35233.29,0.021958
2012-06-25,34828.57,-0.011487
2012-07-02,34017.99,-0.023273
2012-07-09,34308.38,0.008536
2012-07-16,34095.45,-0.006206
2012-07-23,33985.45,-0.003226
2012-07-30,33289.54,-0.020477
2012-08-06,37697.68,0.132418
2012-08-13,39012.51,0.034878
2012-08-20,37419.28,-0.040839
2012-08-27,37870.98,0.012071
2012-09-03,35681.36,-0.057818
2012-09-10,38369.98,0.075351
2012-09-17,37672.98,-0.018165
2012-09-24,35929.23,-0.046286
2012-10-08,33496.0,-0.067723
2012-10-15,35016.0,0.045379
2012-10-22,33672.24,-0.038376
2012-10-29,32895.96,-0.023054
2012-11-05,33361.66,0.014157
2012-11-12,32738.29,-0.018685
2012-11-19,30960.27,-0.05431
2012-11-26,31077.74,0.003794
2012-12-03,28754.09,-0.074769
2012-12-10,29909.45,0.040181
2012-12-17,30031.9,0.004094
2012-12-24,29484.82,-0.018217
2012-12-31,31052.82,0.05318
2013-01-07,30626.41,-0.013732
2013-01-14,30272.52,-0.011555
2013-01-21,31963.59,0.055862
2013-01-28,31302.66,-0.020678
2013-02-04,32113.55,0.025905
2013-02-18,33223.86,0.034575
2013-02-25,33107.57,-0.0035
2013-03-04,33399.15,0.008807
2013-03-11,34351.57,0.028516
2013-03-18,33950.73,-0.011669
2013-03-25,35107.73,0.034079
2013-04-01,34704.89,-0.011474
2013-04-08,32811.01,-0.054571
2013-04-15,33928.6,0.034061
2013-04-22,35831.62,0.056089
2013-05-02,35617.87,-0.005965
2013-05-06,36522.25,0.025391
2013-05-13,36588.34,0.00181
2013-05-20,39554.57,0.08107
2013-05-27,41905.24,0.059429
2013-06-03,41799.7,-0.002519
2013-06-13,39836.13,-0.046976
2013-06-17,40850.83,0.025472
2013-06-24,39683.95,-0.028564
2013-07-01,40136.82,0.011412
2013-07-08,40716.01,0.01443
2013-07-15,42462.21,0.042887
2013-07-22,45129.65,0.062819
2013-07-29,47691.07,0.056757
2013-08-05,47932.63,0.005065
2013-08-12,47810.97,-0.002538
2013-08-19,45182.05,-0.054986
2013-08-26,45896.95,0.015823
2013-09-02,45119.03,-0.016949
2013-09-09,48593.39,0.077004
2013-09-16,52384.4,0.078015
2013-09-23,52030.4,-0.006758
2013-09-30,52356.4,0.006266
2013-10-08,53022.5,0.012722
2013-10-14,54044.5,0.019275
2013-10-21,52798.28,-0.023059
2013-10-28,53611.88,0.01541
2013-11-04,52537.24,-0.020045
2013-11-11,57493.97,0.094347
2013-11-18,60666.34,0.055177
2013-11-25,61609.85,0.015552
2013-12-02,66812.39,0.084443
2013-12-09,69191.85,0.035614
2013-12-16,68470.71,-0.010422
2013-12-23,68367.83,-0.001503
2013-12-30,72546.85,0.061126
2014-01-06,75731.91,0.043903
2014-01-13,73489.28,-0.029613
2014-01-20,75640.46,0.029272
2014-01-27,81155.69,0.072914
2014-02-07,82142.69,0.012162
2014-02-10,82655.54,0.006243
2014-02-17,85603.29,0.035663
2014-02-24,86924.29,0.015432
2014-03-03,86023.29,-0.010365
2014-03-10,88582.91,0.029755
2014-03-17,87279.49,-0.014714
2014-03-24,92299.94,0.057522
2014-03-31,88520.72,-0.040945
2014-04-08,92767.82,0.047979
2014-04-14,93487.39,0.007757
2014-04-21,95067.26,0.016899
2014-04-28,93591.21,-0.015526
2014-05-05,92446.54,-0.012231
2014-05-12,93008.59,0.00608
2014-05-19,94847.27,0.019769
2014-05-26,96729.72,0.019847
2014-06-03,96425.85,-0.003141
2014-06-09,96339.2,-0.000899
2014-06-16,93484.83,-0.029628
2014-06-23,86105.53,-0.078936
