date,symbol,name,side,quantity,price,cost,pnl,reason
2012-01-16,300133.SZ,华策影视,buy,100,32.046,5.0,,进入本周目标排名
2012-01-16,600157.SH,永泰能源,buy,300,15.308,5.0,,进入本周目标排名
2012-01-16,600138.SH,中青旅,buy,300,15.108,5.0,,进入本周目标排名
2012-01-16,600066.SH,宇通客车,buy,200,24.012,5.0,,进入本周目标排名
2012-01-16,000069.SZ,华侨城A,buy,700,6.903,5.0,,进入本周目标排名
2012-01-16,002252.SZ,上海莱士,buy,200,24.422,5.0,,进入本周目标排名
2012-01-30,300133.SZ,华策影视,sell,100,27.686,6.38,-447.37,跌出保留排名或无合格候选
2012-01-30,600138.SH,中青旅,sell,300,14.693,7.2,-136.67,跌出保留排名或无合格候选
2012-01-30,002229.SZ,鸿博股份,buy,300,13.487,5.0,,进入本周目标排名
2012-01-30,600011.SH,华能国际,buy,900,5.423,5.0,,进入本周目标排名
2012-02-06,002252.SZ,上海莱士,sell,200,23.838,7.38,-129.21,跌出保留排名或无合格候选
2012-02-06,002070.SZ,众和退,buy,900,5.493,5.0,,进入本周目标排名
2012-02-13,000069.SZ,华侨城A,sell,700,7.096,7.48,122.62,跌出保留排名或无合格候选
2012-02-13,002229.SZ,鸿博股份,sell,300,17.141,7.57,1083.83,跌出保留排名或无合格候选
2012-02-13,600011.SH,华能国际,sell,900,5.417,7.44,-17.32,跌出保留排名或无合格候选
2012-02-13,600008.SH,首创环保,buy,900,5.293,5.0,,进入本周目标排名
2012-02-13,000625.SZ,长安汽车,buy,1200,4.152,5.0,,进入本周目标排名
2012-02-13,002146.SZ,荣盛发展,buy,600,8.114,5.0,,进入本周目标排名
2012-02-20,002146.SZ,荣盛发展,sell,600,8.376,7.51,144.54,跌出保留排名或无合格候选
2012-02-20,600157.SH,永泰能源,sell,300,16.742,7.51,417.68,跌出保留排名或无合格候选
2012-02-20,600606.SH,绿地控股,buy,1000,5.113,5.0,,进入本周目标排名
2012-02-20,000979.SZ,中弘退,buy,800,6.113,5.0,,进入本周目标排名
2012-02-20,000006.SZ,深振业A,buy,300,4.702,5.0,,进入本周目标排名
2012-02-27,000979.SZ,中弘退,sell,800,7.176,7.87,837.81,跌出保留排名或无合格候选
2012-02-27,600066.SH,宇通客车,sell,200,23.418,7.34,-131.08,跌出保留排名或无合格候选
2012-02-27,600782.SH,新钢股份,buy,1000,5.353,5.0,,进入本周目标排名
