因子名称,类别,方向,IC 均值,IC_IR,IC>0 比例,多空收益,单调性,总收益,夏普比率,最大回撤,胜率,交易次数,综合评分,IC 评分,收益评分,夏普评分,回撤评分,稳定性评分
correlation_breakdown,横截面关系,positive,0.0459879655061913,0.7477162141593615,0.7727272727272727,0.018212,是,-0.262656,-0.6233,-0.347836,0.2759,58,55.0,30.0,0.0,0.0,15.0,10
return_skewness,统计分布,positive,0.014498166587551948,0.19794407178830076,0.5454545454545454,0.007210000000000001,是,-0.178366,-0.3767,-0.217294,0.4318,44,32.74134430729805,11.876644307298045,0.0,0.0,10.864700000000001,10
hurst_exponent,统计分布,positive,0.017354523315196786,0.24194458962675394,0.6428571428571429,0.006718999999999999,否,-0.405092,-1.2929,-0.427268,0.4189,148,29.51667537760524,14.516675377605237,0.0,0.0,15.0,0
overreaction_reversal,行为金融,positive,0.012256413155912638,0.1900470298610699,0.5,-0.023740999999999998,否,-0.393084,-1.1859,-0.393335,0.3587,92,26.402821791664195,11.402821791664193,0.0,0.0,15.0,0
return_kurtosis,统计分布,negative,0.009511117049727446,0.1499981501867828,0.5454545454545454,0.005806999999999996,否,-0.4275,-1.1752,-0.439893,0.325,40,23.999889011206967,8.99988901120697,0.0,0.0,15.0,0
order_flow_imbalance,市场微观结构,positive,0.0017613054737483959,0.027004730196424347,0.5625,-0.0010889999999999997,否,-0.602971,-1.6154,-0.602971,0.329,155,16.620283811785463,1.6202838117854608,0.0,0.0,15.0,0
disposition_effect,行为金融,negative,,0.0,,0.0,否,-0.219313,-0.6858,-0.306296,0.2609,23,15.0,0.0,0.0,0.0,15.0,0
alpha_momentum,横截面关系,positive,,0.0,,0.0,否,-0.219313,-0.6858,-0.306296,0.2609,23,15.0,0.0,0.0,0.0,15.0,0
herding_indicator,行为金融,negative,,0.0,,0.0,否,-0.219313,-0.6858,-0.306296,0.2609,23,15.0,0.0,0.0,0.0,15.0,0
price_impact,市场微观结构,negative,-0.02220729408597404,-0.3366707280818035,0.35714285714285715,-0.008737000000000002,是,-0.171554,-0.4343,-0.293465,0.4483,116,4.473006315091791,-20.20024368490821,0.0,0.0,14.67325,10
liquidity_shock,市场微观结构,positive,-0.046505581197989095,-0.5101799834441001,0.25,-0.011321000000000005,是,0.042416,0.2879,-0.171237,0.478,159,-0.9889490066460063,-30.610799006646005,5.302,5.758,8.56185,10
momentum_acceleration,横截面关系,positive,-0.05284196797752526,-0.4746983143352417,0.23076923076923078,-0.015549000000000002,是,-0.535924,-0.8093,-0.570522,0.2826,92,-3.4818988601145016,-28.4818988601145,0.0,0.0,15.0,10
bid_ask_spread,市场微观结构,negative,-0.060159354891666614,-0.40485244411758553,0.25,-0.008517,否,-0.024216,-0.0162,-0.163577,0.4867,113,-16.112296647055132,-24.291146647055132,0.0,0.0,8.17885,0
industry_relative_strength,横截面关系,positive,-0.09031340530954497,-0.8213075102418764,0.25,-0.022258000000000003,是,-0.322297,-0.2882,-0.488958,0.3684,76,-24.278450614512586,-49.278450614512586,0.0,0.0,15.0,10
rank_velocity,横截面关系,positive,-0.0906893999491961,-0.8916872615724112,0.25,-0.022819999999999997,是,-0.185814,-0.0453,-0.323206,0.3684,76,-28.501235694344672,-53.50123569434467,0.0,0.0,15.0,10
