rank_recent_return,weights,recent_total_return,recent_annual_return,recent_sharpe,recent_max_drawdown,long_total_return,long_annual_return,long_sharpe,long_max_drawdown
1,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.2, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.657633,0.229898,0.8676,-0.168945,0.00663,0.001354,0.1143,-0.404021
2,"{'correlation_breakdown': 0.2, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.2, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.63594,0.223283,0.8437,-0.196976,-0.428849,-0.108337,-0.3687,-0.632277
3,"{'correlation_breakdown': 0.2, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.2, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.626882,0.220505,0.8587,-0.21523,-0.242564,-0.055289,-0.0796,-0.564833
4,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.6, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.0}",0.540249,0.193463,0.8178,-0.228275,0.065815,0.013135,0.1648,-0.272739
5,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.426111,0.156426,0.6116,-0.395269,-0.285967,-0.066633,-0.1521,-0.429806
6,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.4, 'liquidity_strength_20': 0.0, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.6}",0.397728,0.146946,0.7102,-0.200211,-0.321797,-0.076418,-0.2862,-0.483109
7,"{'correlation_breakdown': 0.2, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.364082,0.135561,0.5256,-0.35478,-0.720448,-0.229669,-0.7543,-0.758874
8,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.300801,0.113688,0.4806,-0.45532,-0.509736,-0.135782,-0.4143,-0.612036
9,"{'correlation_breakdown': 0.6, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.0}",0.220487,0.085003,0.4067,-0.315478,,,,
10,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.4, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.0}",0.160435,0.062818,0.381,-0.246965,,,,
11,"{'correlation_breakdown': 0.2, 'low_volatility_20': 0.2, 'liquidity_strength_20': 0.2, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.117891,0.046688,0.3003,-0.225359,,,,
12,"{'correlation_breakdown': 0.2, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.2, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.4, 'low_drawdown_momentum_60': 0.0}",0.113771,0.045107,0.3007,-0.386029,,,,
13,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.2, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.0, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.2, 'low_drawdown_momentum_60': 0.0}",0.10007,0.039823,0.2925,-0.138956,,,,
14,"{'correlation_breakdown': 0.4, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.4, 'downside_volatility_20': 0.0, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.0, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.0}",0.057301,0.023076,0.2336,-0.313361,,,,
15,"{'correlation_breakdown': 0.0, 'low_volatility_20': 0.0, 'liquidity_strength_20': 0.2, 'downside_volatility_20': 0.2, 'breakout_position_60': 0.2, 'distance_to_high_20': 0.2, 'liquidity_acceleration_20': 0.0, 'low_drawdown_momentum_60': 0.2}",0.03808,0.01542,0.2194,-0.549261,,,,
